time_key,time_value,hours_24,hours_12,hour_minutes,day_minutes,seconds
75500,07:55:00,07,07,55,475,00
75600,07:56:00,07,07,56,476,00
75700,07:57:00,07,07,57,477,00
75800,07:58:00,07,07,58,478,00
75900,07:59:00,07,07,59,479,00
80000,08:00:00,08,08,00,480,00
80100,08:01:00,08,08,01,481,00
80200,08:02:00,08,08,02,482,00
80300,08:03:00,08,08,03,483,00
80400,08:04:00,08,08,04,484,00
80500,08:05:00,08,08,05,485,00
80600,08:06:00,08,08,06,486,00
80700,08:07:00,08,08,07,487,00
80800,08:08:00,08,08,08,488,00
80900,08:09:00,08,08,09,489,00
81000,08:10:00,08,08,10,490,00
81100,08:11:00,08,08,11,491,00
81200,08:12:00,08,08,12,492,00
81300,08:13:00,08,08,13,493,00
81400,08:14:00,08,08,14,494,00
81500,08:15:00,08,08,15,495,00
81600,08:16:00,08,08,16,496,00
81700,08:17:00,08,08,17,497,00
81800,08:18:00,08,08,18,498,00
81900,08:19:00,08,08,19,499,00
82000,08:20:00,08,08,20,500,00
82100,08:21:00,08,08,21,501,00
82200,08:22:00,08,08,22,502,00
82300,08:23:00,08,08,23,503,00
82400,08:24:00,08,08,24,504,00
82500,08:25:00,08,08,25,505,00
82600,08:26:00,08,08,26,506,00
82700,08:27:00,08,08,27,507,00
82800,08:28:00,08,08,28,508,00
82900,08:29:00,08,08,29,509,00
83000,08:30:00,08,08,30,510,00
83100,08:31:00,08,08,31,511,00
83200,08:32:00,08,08,32,512,00
83300,08:33:00,08,08,33,513,00
83400,08:34:00,08,08,34,514,00
83500,08:35:00,08,08,35,515,00
83600,08:36:00,08,08,36,516,00
83700,08:37:00,08,08,37,517,00
83800,08:38:00,08,08,38,518,00
83900,08:39:00,08,08,39,519,00
84000,08:40:00,08,08,40,520,00
84100,08:41:00,08,08,41,521,00
84200,08:42:00,08,08,42,522,00
84300,08:43:00,08,08,43,523,00
84400,08:44:00,08,08,44,524,00
84500,08:45:00,08,08,45,525,00
84600,08:46:00,08,08,46,526,00
84700,08:47:00,08,08,47,527,00
84800,08:48:00,08,08,48,528,00
84900,08:49:00,08,08,49,529,00
85000,08:50:00,08,08,50,530,00
85100,08:51:00,08,08,51,531,00
85200,08:52:00,08,08,52,532,00
85300,08:53:00,08,08,53,533,00
85400,08:54:00,08,08,54,534,00
85500,08:55:00,08,08,55,535,00
