movie_key,title,movieid,tconst,multiple_concatenate_genre_key,multiple_concatenate_professional_key,releasedate,averagerating,num_votes
39930,Defying Destiny,,tt0013981,87574,3106,1923,6,38
39342,Drifting,,tt0014003,86664,2265,1923,7,109
40055,Homeward Bound,,tt0014138,87494,3015,1923,5,37
40189,Os Lobos,,tt0014207,86664,2882,1923,7,90
39693,Med Roald Amundsens Nordpolsekspedition til første vinterkvarter,,tt0014267,86398,3138,1923,6,6
40077,Mulheres da Beira,,tt0014298,87574,3105,1923,7,38
39698,Scaramouche,,tt0014440,87574,2899,1923,7,698
40060,Second Fiddle,,tt0014452,86664,2273,1923,6,21
39654,The Social Buccaneer,,tt0014489,87871,2495,1923,6,18
40126,The Spider and the Rose,,tt0014502,87047,2507,1923,5,16
39431,Trimmed in Scarlet,,tt0014563,86373,2182,1923,6,16
40035,The White Rose,,tt0014604,87574,2817,1923,6,221
39849,"$50,000 Reward",,tt0014639,87511,2818,1924,5,74
39244,Ace of Cactus Range,,tt0014645,87511,2395,1924,5,19
39775,Alice Gets in Dutch,,tt0014656,87831,2240,1924,6,267
40185,Alice and the Dog Catcher,,tt0014659,87831,2310,1924,5,196
39248,The Arab,,tt0014679,86519,3144,1924,6,47
39608,Beau Brummel,,tt0014702,87942,2520,1924,7,532
39397,Black Oxen,,tt0014721,86372,2858,1923,6,239
40073,A Boy of Flanders,,tt0014733,87844,2196,1924,8,28
39513,Changing Husbands,,tt0014767,86648,3157,1924,7,21
39961,Dynamite Dan,,tt0014857,87891,3082,1924,6,98
39913,The Enchanted Cottage,,tt0014869,86664,2793,1924,7,688
39972,Fast and Fearless,,tt0014878,86416,2356,1924,6,15
39707,The Fortieth Door,,tt0014927,86779,2557,1924,7,19
39378,Grit,,tt0014960,86373,2273,1924,4,27
39476,Janice Meredith,,tt0015022,87942,2824,1924,6,719
40103,Manhandled,,tt0015116,87372,3272,1924,7,1128
39862,Robes of Sin,,tt0015285,87738,3051,1924,6,23
40022,Romola,,tt0015289,87994,2340,1924,6,247
39889,Second Youth,,tt0015311,86323,2491,1924,4,16
40178,Ein Sommernachtstraum,,tt0015352,86822,2814,1925,7,10
39796,The Sun Down Limited,,tt0015378,87936,2921,1924,7,128
39187,Valley of Hate,,tt0015454,86664,3051,1924,5,32
39845,The Warrens of Virginia,,tt0015471,87574,3316,1924,8,20
39606,Yolanda,,tt0015518,87067,2128,1924,8,156
39406,Alice Is Stage Struck,,tt0015554,87831,2310,1925,4,127
39429,Are Parents People?,,tt0015577,86648,3152,1925,7,80
39952,As Man Desires,,tt0015579,87641,2165,1925,3,23
39805,Cactus Trails,,tt0015661,86416,2641,1925,5,15
39285,Los chicos de la escuela,,tt0015680,86648,2809,1925,6,6
39778,Currito de la Cruz,,tt0015719,86664,2693,1926,5,11
39879,A Daughter of the Sioux,,tt0015738,87191,2368,1925,7,23
39830,Fighting the Flames,,tt0015816,87641,3185,1925,6,19
40057,The Green Archer,,tt0015882,86710,2569,1925,6,40
40070,El húsar de la muerte,,tt0015935,87747,2592,1925,6,160
39331,Jewish Luck,,tt0015959,86323,2206,1925,6,164
39351,The Stationmaster,,tt0015997,86664,2279,1925,7,17
39443,The Lucky Devil,,tt0016051,86437,2608,1925,6,45
40050,Pampered Youth,,tt0016198,87574,2190,1925,6,38
39528,The Phantom Express,,tt0016218,87220,2686,1925,5,25
39765,Pohjalaisia,,tt0016231,87994,2208,1925,6,33
40066,The Power God,,tt0016237,87476,2490,1925,6,54
39682,Proud Flesh,,tt0016251,86825,2656,1925,5,207
40146,Roald Amundsen - Ellsworths flyveekspedition 1925,,tt0016295,87681,3138,1925,7,11
40071,S.O.S. Perils of the Sea,,tt0016305,87641,2402,1925,6,25
39203,The Scrappin' Kid,,tt0016324,87191,3335,1926,4,23
40101,Soul-Fire,,tt0016377,86664,2631,1925,6,133
40123,That Royle Girl,,tt0016420,87372,3272,1925,6,32
39489,"Tonio, Son of the Sierras",,tt0016438,87191,2368,1925,7,26
39996,Två konungar,,tt0016462,86664,3119,1925,6,11
39475,The Unchastened Woman,,tt0016469,86664,2504,1925,6,152
39385,Up the Ladder,,tt0016478,86664,2774,1925,6,63
39375,Mother,,tt0016491,87660,3004,1925,8,931
39505,Winds of Chance,,tt0016541,87047,3335,1925,7,63
39580,Abrek Zaur,,tt0016570,87641,3227,1926,6,32
39276,Baldevins bryllup,,tt0016621,87372,2337,1926,6,10
39389,The Belle of Broadway,,tt0016639,87574,2554,1926,7,103
39931,The Better 'Ole,,tt0016643,87190,2898,1926,6,286
39536,Born to the West,,tt0016676,87511,2305,1926,5,28
39566,Breed of the Sea,,tt0016679,87641,2485,1926,5,21
40013,The Broken Law,,tt0016687,87511,2461,1924,6,14
39173,The Bay of Death,,tt0016696,86664,2682,1926,7,34
39320,Casey of the Coast Guard,,tt0016713,86710,2558,1926,2,22
39727,The College Boob,,tt0016733,87372,2874,1926,6,18
39793,Una extraña aventura de Luis Candelas,,tt0016834,86373,3043,1926,7,15
39990,Fascinating Youth,,tt0016844,87888,2223,1926,7,34
39789,Frivolinas,,tt0016906,86633,2992,1927,6,22
39892,Gigolo,,tt0016921,86928,2287,1926,7,17
39733,Hands Up!,,tt0016947,87154,2327,1926,7,301
39609,Her Man o' War,,tt0016959,86664,2318,1926,7,24
39864,Her Sacrifice,,tt0016961,86664,2960,1926,3,13
39871,His First Flame,,tt0016971,86998,2200,1927,6,177
39334,The Ice Flood,,tt0016989,87641,3041,1926,6,48
39869,The Isle of Retribution,,tt0017001,87641,2877,1926,2,23
39754,The Lost Express,,tt0017080,86789,2557,1926,5,39
39158,Luftskibet 'Norge's flugt over polhavet,,tt0017090,86398,3138,1926,7,7
39616,La malcasada,,tt0017104,86664,2538,1926,4,15
39191,Mannequin,,tt0017117,87574,3152,1926,7,25
39708,Med 'Maud' over Polhavet,,tt0017129,86398,3138,1926,6,10
39284,The Midnight Limited,,tt0017141,86670,2490,1926,5,23
39202,The Adventures of the Three Reporters,,tt0017159,86355,3101,1926,7,348
39243,The Nervous Wreck,,tt0017201,86446,2656,1926,7,48
39959,The Nickel-Hopper,,tt0017204,87746,2874,1926,7,134
39767,Old Loves and New,,tt0017227,87494,2980,1926,4,18
39467,The Sea Wolf,,tt0017358,87047,3197,1926,3,20
39757,The Set-Up,,tt0017367,87191,3239,1926,7,27
39364,Snowed In,,tt0017408,86670,2516,1926,5,21
39582,So This Is Paris,,tt0017409,86648,2500,1926,7,743
39390,The Student of Prague,,tt0017438,87415,2658,1926,7,764
39296,"Tramp, Tramp, Tramp",,tt0017483,86446,2200,1926,6,813
39565,Why Girls Go Back Home,,tt0017555,86825,2923,1926,7,17
39905,Annie Laurie,,tt0017632,87574,3178,1927,7,486
39345,Women of Ryazan,,tt0017653,86664,2734,1927,7,336
39740,Back to God's Country,,tt0017655,87053,2945,1927,4,21
39866,The Beloved Rogue,,tt0017667,87761,3185,1927,7,891
39540,Death Valley,,tt0017796,86416,2490,1927,6,12
39777,"East Side, West Side",,tt0017841,87963,2867,1927,7,165
39973,Fashions for Women,,tt0017865,86825,2193,1927,4,37
40051,The First Auto,,tt0017886,87372,2870,1927,6,273
39270,Fjeldeventyret,,tt0017888,87574,2772,1927,6,9
40120,Foreign Devils,,tt0017902,87898,3178,1927,4,18
39466,Giuli,,tt0017937,87574,3060,1927,6,24
39799,Hans engelska fru,,tt0017960,86664,2905,1927,6,26
40000,The Heart of Maryland,,tt0017973,87434,2727,1927,5,26
39544,The Private Life of Helen of Troy,,tt0017979,87327,3230,1927,6,92
39543,Fanny Hawthorne,,tt0017998,87574,3269,1927,7,291
39920,Huntingtower,,tt0018017,87641,3288,1927,7,16
39160,Marquitta,,tt0018143,86664,3295,1927,6,33
40107,The Masked Menace,,tt0018146,87738,2466,1927,7,9
39910,El negro que tenía el alma blanca,,tt0018197,86664,2553,1927,7,53
39180,Poet i tsar,,tt0018269,86664,2409,1927,6,38
39790,Set Free,,tt0018378,87191,3087,1927,7,16
39982,The Silent Hero,,tt0018399,87641,2761,1927,2,21
40148,The Telephone Girl,,tt0018469,86664,3216,1927,6,10
39919,Troll-Elgen,,tt0018508,86443,2984,1927,6,81
39940,The Understanding Heart,,tt0018525,86373,2550,1927,3,188
40165,Blade of Penitence,,tt0018606,86664,2788,1927,7,58
40065,The Adventurer,,tt0018624,87191,2853,1927,5,29
40155,After the Verdict,,tt0018630,87963,3194,1929,5,21
39898,Annapolis,,tt0018646,87372,2282,1928,7,46
39685,The Call of the Heart,,tt0018740,87641,2892,1928,6,22
39655,Una nueva y gloriosa nación,,tt0018758,87747,2474,1928,6,14
774,Amor?,98271,,86664,,2011,,
39801,The Desert Bride,,tt0018822,87434,2732,1928,5,23
39178,The Devil's Playground,,tt0018829,87047,2394,1928,6,11
39410,Dom na Trubnoy,,tt0018841,86648,3101,1928,7,724
39821,Don Diego i Pelageya,,tt0018844,87372,3101,1928,7,78
39261,Three Friends and an Invention,,tt0018856,86323,2908,1927,7,22
39567,Caucasian Love,,tt0018862,86928,2595,1928,7,176
40179,Glorious Betsy,,tt0018945,87994,2624,1928,6,153
39268,La grande passion,,tt0018955,87818,3206,1928,6,25
40164,Majestät schneidet Bubiköpfe,,tt0018973,86664,2369,1928,7,24
39338,Haunted Island,,tt0018979,86710,2796,1928,3,24
39322,Fight for the Matterhorn,,tt0019050,86664,3218,1928,7,58
39868,Kruzheva,,tt0019060,86648,2908,1928,7,60
39600,Ladies of the Mob,,tt0019062,86664,2496,1928,7,47
39189,Ladies' Night in a Turkish Bath,,tt0019064,86648,3275,1928,7,37
39817,Looping the Loop,,tt0019110,87434,3147,1928,7,50
40081,Ramona,,tt0019305,87574,2371,1928,7,164
40072,Rasputins Liebesabenteuer,,tt0019308,87994,2565,1928,7,27
39908,The Red Dance,,tt0019312,87574,2930,1928,6,160
39177,Teenagers' Republic,,tt0019318,87738,2565,1928,7,11
39382,The Shopworn Angel,,tt0019375,86928,2503,1928,7,63
39674,Synd,,tt0019441,86664,2351,1928,7,42
39210,The Texas Tornado,,tt0019459,87511,3083,1928,6,19
